,index,sessionid,next,userHash,latitude,longitude,connectionType,platformType,country_code
12996,199337,-834400347018987252,False,-7612219467832355803,35.2976,-119.0484,2,5,us
12997,422992,-834266169582520814,False,6235107238088133959,36.5635,136.6579,1,1,jp
12998,252566,-834144781232211259,False,5864790904722246736,34.0544,-118.244,1,1,us
12999,252567,-834144781232211259,True,5864790904722246736,34.0544,-118.244,1,1,us
13000,840200,-833584047603829629,False,-6598465937243381625,32.6587,-97.1617,2,5,us
13001,840194,-833584047603829629,True,-6598465937243381625,32.6587,-97.1617,2,5,us
13002,423706,-832813874003018035,False,-7806874649020619286,-23.0087,-46.8411,1,5,br
13003,425985,-832813874003018035,True,-7806874649020619286,-23.0087,-46.8411,1,5,br
13004,423697,-829402934862630491,False,-3485862281762728096,41.1122,16.8547,1,5,it
13005,94403,-828897481159163211,False,-3828244244299907198,37.1038,-113.5764,1,5,us
13006,840219,-828248260390474909,False,5770474287186885266,35.4145,-119.0403,2,5,us
13007,840225,-828248260390474909,True,5770474287186885266,35.4145,-119.0403,2,5,us
13008,422644,-827142940917720959,False,9030363950822759263,35.4759,139.6289,1,1,jp
13009,425815,-827142940917720959,True,9030363950822759263,35.4759,139.6289,1,1,jp
13010,1186402,-825440104391820441,False,2788007468353837807,28.5978,-81.3024,1,1,us
13011,1186282,-825440104391820441,True,2788007468353837807,28.5978,-81.3024,1,1,us
13012,424060,-825249359326914498,False,-6504267232355535596,45.0123,-93.3447,1,5,us
13013,423642,-824466928806820909,False,5541218789217360939,33.1494,-96.828,2,5,us
13014,425984,-824466928806820909,True,5541218789217360939,33.1494,-96.828,2,5,us
13015,424283,-824242182820755994,False,441909874453339543,55.7483,37.6171,2,5,ru
13016,424589,-823729786805697255,False,7419460821533488925,34.8504,-92.4089,2,7,us
13017,424546,-823547550307135738,False,5246568912736072327,41.7415,-87.5962,1,7,us
13018,256504,-823103891749330852,False,809658144617389484,35.6829,-85.7653,1,1,us
13019,424427,-822582791670872470,False,8461812133458642768,35.6468,139.6546,1,5,jp
13020,425041,-821712258621278272,False,171103757835879367,32.8466,-116.977,1,7,us
13021,424180,-820744249038849944,False,-7658234470243248454,33.6017,130.4244,1,5,jp
13022,423556,-819850916468684421,False,4807761367586881894,33.5768,-112.2348,2,5,us
13023,203605,-819592999023833532,False,-2084534915058501849,22.0899,-159.3482,2,7,us
13024,94617,-818386946196448125,False,-2960172065665985401,44.0197,-123.1008,2,4,us
13025,423203,-817126949847495520,False,6571196419106405684,37.5198,126.9113,1,1,kr
13026,823733,-817004460356997551,False,4834552629934457011,36.3287,-119.6474,2,4,us
